"type","code","message","context","selector"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.A.EmptyNoId","Anchor element found with no link content and no name and/or ID attribute.","<a class=\"ytp-title-channel-logo\" target=\"_blank\" role=\"link\" tabindex=\"0\"></a>","#movie_player > div:nth-child(3) > div:nth-child(1) > a"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.A.EmptyNoId","Anchor element found with no link content and no name and/or ID attribute.","<a target=\"_blank\"></a>","#movie_player > div:nth-child(3) > div:nth-child(1) > div:nth-child(3) > div > div:nth-child(1) > a"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.A.EmptyNoId","Anchor element found with no link content and no name and/or ID attribute.","<a class=\"ytp-title-link yt-uix-sessionlink ytp-title-fullerscreen-link\" target=\"_blank\" data-sessionlink=\"feature=player-title\" tabindex=\"-1\"></a>","#movie_player > div:nth-child(3) > div:nth-child(2) > div > a"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.A.EmptyNoId","Anchor element found with no link content and no name and/or ID attribute.","<a class=\"ytp-title-channel-name\" target=\"_blank\" href=\"\"></a>","#movie_player > div:nth-child(3) > div:nth-child(2) > div > div > a"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.A.EmptyNoId","Anchor element found with no link content and no name and/or ID attribute.","<a class=\"ytp-suggested-action-container\"><img class=\"ytp-suggested-actio...</a>","#movie_player > div:nth-child(7) > div > div:nth-child(2) > a"
"error","WCAG2AA.Principle1.Guideline1_1.1_1_1.H37","Img element missing an alt attribute. Use the alt attribute to specify a short text alternative.","<img class=\"ytp-suggested-action-badge-img\" style=\"display: none;\">","#movie_player > div:nth-child(7) > div > div:nth-child(2) > a > img"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.Button.Name","This button element does not have a name available to an accessibility API. Valid names are: title , element content, aria-label , aria-labelledby .","<button class=\"ytp-suggested-action-badge-dismiss-button-icon ytp-button\"></button>","#movie_player > div:nth-child(7) > div > div:nth-child(2) > a > button:nth-child(4)"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.Button.Name","This button element does not have a name available to an accessibility API. Valid names are: title , element content, aria-label , aria-labelledby .","<button class=\"ytp-featured-product-overflow-icon ytp-button\" aria-haspopup=\"true\" style=\"display: none;\"></button>","#movie_player > div:nth-child(7) > div > div:nth-child(2) > a > button:nth-child(5)"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.A.EmptyNoId","Anchor element found with no link content and no name and/or ID attribute.","<a class=\"ytp-paid-content-overlay-link\" target=\"_blank\" style=\"display: none;\"><div class=\"ytp-paid-content-ov...</a>","#movie_player > div:nth-child(9) > div:nth-child(1) > div > a"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.Button.Name","This button element does not have a name available to an accessibility API. Valid names are: title , element content, aria-label , aria-labelledby .","<button class=\"ytp-button ytp-suggested-action-badge ytp-suggested-action-badge-with-controls\" style=\"display: none;\"><div class=\"ytp-suggested-actio...</button>","#movie_player > div:nth-child(9) > div:nth-child(3) > div:nth-child(1) > button"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.Button.Name","This button element does not have a name available to an accessibility API. Valid names are: title , element content, aria-label , aria-labelledby .","<button class=\"ytp-suggested-action-badge-dismiss-button-icon ytp-button\"></button>","#movie_player > div:nth-child(9) > div:nth-child(3) > div:nth-child(1) > button > div:nth-child(2) > button"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.Button.Name","This button element does not have a name available to an accessibility API. Valid names are: title , element content, aria-label , aria-labelledby .","<button class=\"ytp-button ytp-suggested-action-badge ytp-suggested-action-badge-with-controls ytp-suggested-action-badge-expanded\" aria-label=\"\" style=\"display: none;\"><div class=\"ytp-suggested-actio...</button>","#movie_player > div:nth-child(9) > div:nth-child(3) > div:nth-child(2) > button"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.Button.Name","This button element does not have a name available to an accessibility API. Valid names are: title , element content, aria-label , aria-labelledby .","<button class=\"ytp-suggested-action-badge-dismiss-button-icon ytp-button\" aria-label=\"\"></button>","#movie_player > div:nth-child(9) > div:nth-child(3) > div:nth-child(2) > button > div:nth-child(2) > button"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.Button.Name","This button element does not have a name available to an accessibility API. Valid names are: title , element content, aria-label , aria-labelledby .","<button class=\"ytp-suggested-action-badge-dismiss-button-icon ytp-button\" style=\"display: none;\"></button>","#movie_player > div:nth-child(9) > div:nth-child(3) > div:nth-child(3) > div > div:nth-child(2) > button"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.A.EmptyNoId","Anchor element found with no link content and no name and/or ID attribute.","<a class=\"ytp-featured-product-container\"><div class=\"ytp-featured-produc...</a>","#movie_player > div:nth-child(9) > div:nth-child(3) > div:nth-child(3) > div > div:nth-child(2) > a"
